,street_name,full_address,sale_date,sale_price,price_num,sq_feet,price_sf,url,lat,long
12038,6035 PARK WOOD CT,"6035 PARK WOOD CT Cobb County, GA",2018-10-09,"$127,000.00",127000,1124,112.98932384341636,"https://www.google.com/maps/search/6035%20PARK%20WOOD%20CT%20Cobb%20County,%20GA",33.8303646,-84.6261232
12039,3402 LELAND TRAIL WAY,"3402 LELAND TRAIL WAY Cobb County, GA",2018-10-10,"$325,000.00",325000,2592,125.3858024691358,"https://www.google.com/maps/search/3402%20LELAND%20TRAIL%20WAY%20Cobb%20County,%20GA",33.8739063,-84.5435503
12040,6987 SATTERLEE WOODS LN,"6987 SATTERLEE WOODS LN Cobb County, GA",2018-10-10,"$157,250.00",157250,1392,112.9669540229885,"https://www.google.com/maps/search/6987%20SATTERLEE%20WOODS%20LN%20Cobb%20County,%20GA",33.7839641,-84.5526239
12041,4251 CREEK HAVEN DR,"4251 CREEK HAVEN DR Cobb County, GA",2018-10-10,"$427,500.00",427500,2653,161.13833396155297,"https://www.google.com/maps/search/4251%20CREEK%20HAVEN%20DR%20Cobb%20County,%20GA",34.0522082,-84.4474635
12042,425 MIDWAY RD,"425 MIDWAY RD Cobb County, GA",2018-10-10,"$362,500.00",362500,2046,177.17497556207235,"https://www.google.com/maps/search/425%20MIDWAY%20RD%20Cobb%20County,%20GA",33.9427798,-84.683092
12043,2596 JUPITER DR SW,"2596 JUPITER DR SW Cobb County, GA",2018-10-10,"$312,928.00",312928,3373,92.77438482063444,"https://www.google.com/maps/search/2596%20JUPITER%20DR%20SW%20Cobb%20County,%20GA",33.8903537,-84.6870335
12044,4534 LOGAN WAY,"4534 LOGAN WAY Cobb County, GA",2018-10-10,"$190,000.00",190000,2532,75.03949447077409,"https://www.google.com/maps/search/4534%20LOGAN%20WAY%20Cobb%20County,%20GA",34.0749915,-84.6684266
12045,4850 MADISON POINT CIR,"4850 MADISON POINT CIR Cobb County, GA",2018-10-10,"$238,000.00",238000,3364,70.74910820451844,"https://www.google.com/maps/search/4850%20MADISON%20POINT%20CIR%20Cobb%20County,%20GA",33.8368299,-84.6290676
12046,3220 JUNIPER DR,"3220 JUNIPER DR Cobb County, GA",2018-10-10,"$232,000.00",232000,1964,118.12627291242364,"https://www.google.com/maps/search/3220%20JUNIPER%20DR%20Cobb%20County,%20GA",34.0367519,-84.6569984
12047,1407 BEAR RIDGE CT,"1407 BEAR RIDGE CT Cobb County, GA",2018-10-10,"$213,000.00",213000,1290,165.11627906976744,"https://www.google.com/maps/search/1407%20BEAR%20RIDGE%20CT%20Cobb%20County,%20GA",34.056185,-84.5883934
