,street_name,full_address,sale_date,sale_price,price_num,sq_feet,price_sf
15369,5265 KERSHAW CT UNIT 6,"5265 KERSHAW CT UNIT 6 Cobb County, GA",2018-01-08,"$239,900.00",239900,1720,139.47674418604652
13815,3576 KENNESAW STATION DR,"3576 KENNESAW STATION DR Cobb County, GA",2018-01-08,"$133,500.00",133500,1168,114.29794520547945
13872,452 DARTER DR,"452 DARTER DR Cobb County, GA",2018-01-08,"$232,000.00",232000,2027,114.45485939812531
14177,1724 WHITFIELD PARC CIR SE,"1724 WHITFIELD PARC CIR SE Cobb County, GA",2018-01-08,"$394,000.00",394000,2473,159.32066316215122
15368,2670 BARAMORE RD,"2670 BARAMORE RD Cobb County, GA",2018-01-08,"$215,000.00",215000,1756,122.4373576309795
15379,2117 JOCKEY HOLLOW DR,"2117 JOCKEY HOLLOW DR Cobb County, GA",2018-01-08,"$300,000.00",300000,2905,103.27022375215147
15367,3140 NECTAR DR,"3140 NECTAR DR Cobb County, GA",2018-01-09,"$165,000.00",165000,1217,135.57929334428923
15366,3439 SHARON DR,"3439 SHARON DR Cobb County, GA",2018-01-09,"$165,000.00",165000,2400,68.75
15365,820 MUIRFIELD TRCE,"820 MUIRFIELD TRCE Cobb County, GA",2018-01-09,"$473,500.00",473500,2656,178.27560240963857
15364,3921 ABERNATHY FARM WAY UNIT 12,"3921 ABERNATHY FARM WAY UNIT 12 Cobb County, GA",2018-01-09,"$164,000.00",164000,1964,83.5030549898167
15363,3900 HADLEY FARM DR,"3900 HADLEY FARM DR Cobb County, GA",2018-01-09,"$172,000.00",172000,1604,107.23192019950125
15362,5002 BRIGHTHAMPTON DR,"5002 BRIGHTHAMPTON DR Cobb County, GA",2018-01-09,"$335,000.00",335000,2070,161.83574879227052
15361,1 MANUEL DR,"1 MANUEL DR Cobb County, GA",2018-01-09,"$158,000.00",158000,1410,112.05673758865248
15360,444 PINE RIDGE TRL,"444 PINE RIDGE TRL Cobb County, GA",2018-01-09,"$188,500.00",188500,1855,101.61725067385444
15359,1709 RIVERVIEW DR,"1709 RIVERVIEW DR Cobb County, GA",2018-01-09,"$105,000.00",105000,1164,90.20618556701031
15358,981 REED RD,"981 REED RD Cobb County, GA",2018-01-09,"$269,000.00",269000,1638,164.22466422466422
13824,1839 BELCHER PL,"1839 BELCHER PL Cobb County, GA",2018-01-09,"$99,900.00",99900,1233,81.02189781021897
13999,1287 GOLDEN ROCK LN SE UNIT 1,"1287 GOLDEN ROCK LN SE UNIT 1 Cobb County, GA",2018-01-09,"$360,000.00",360000,2689,133.8787653402752
14135,1878 WYNRIDGE DR,"1878 WYNRIDGE DR Cobb County, GA",2018-01-09,"$347,000.00",347000,1723,201.39291932675565
14184,3075 MILFORD CHSE,"3075 MILFORD CHSE Cobb County, GA",2018-01-09,"$238,000.00",238000,2338,101.79640718562874
15356,175 ENNISBROOK DR,"175 ENNISBROOK DR Cobb County, GA",2018-01-10,"$350,000.00",350000,2702,129.5336787564767
15355,272 HOPE ST,"272 HOPE ST Cobb County, GA",2018-01-10,"$285,000.00",285000,1269,224.58628841607566
15354,157 LAKE SOMERSET DR,"157 LAKE SOMERSET DR Cobb County, GA",2018-01-10,"$375,000.00",375000,2376,157.82828282828282
15339,5080 COLLINS LAKE DR,"5080 COLLINS LAKE DR Cobb County, GA",2018-01-10,"$529,000.00",529000,3974,133.1152491192753
15353,2216 EDGARTOWN LN UNIT 4,"2216 EDGARTOWN LN UNIT 4 Cobb County, GA",2018-01-10,"$410,000.00",410000,2684,152.75707898658717
15352,1125 VININGS GROVE WAY,"1125 VININGS GROVE WAY Cobb County, GA",2018-01-10,"$475,000.00",475000,3652,130.06571741511502
15351,6830 GALLANT CIR UNIT 2,"6830 GALLANT CIR UNIT 2 Cobb County, GA",2018-01-10,"$79,900.00",79900,1216,65.70723684210526
